"filename","taint result","taint failure reason","is vulnerability","applicable for utbot","not applicability reason","TESTFILES_DIR","System","`while` cycle","`for` cycle","File","Files","FileInputStream","FileOutputStream","Cookie","Paths","Path","URLDecoder","StringBuilder","Enumeration","ESAPI","SeparateClassRequest","OWASP Utils",Base64
"BenchmarkTest00001","FALSE","usage of an array as a source return does not make the array tainted","TRUE",TRUE,"","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE"
"BenchmarkTest00002","FALSE","usage of an array as a source return does not make the array tainted","TRUE",TRUE,"","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE"
"BenchmarkTest00011","TRUE","","TRUE","TRUE","","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE"
"BenchmarkTest00028","FALSE","data access from a tainted array does not make data tainted","TRUE","TRUE","","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE"
"BenchmarkTest00040","TRUE","","TRUE","TRUE","","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE"
"BenchmarkTest00045","FALSE","usage of an array as a source return does not make the array tainted","TRUE","TRUE","","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE"
"BenchmarkTest00060","FALSE","usage of an array as a source return does not make the array tainted","TRUE",TRUE,"","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE"
"BenchmarkTest00061","FALSE","usage of an array as a source return does not make the array tainted","TRUE",TRUE,"","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE"
"BenchmarkTest00062","FALSE","usage of an array as a source return does not make the array tainted","TRUE",TRUE,"","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE"
"BenchmarkTest00063","FALSE","usage of an array as a source return does not make the array tainted","FALSE",TRUE,"","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE"
